"id","left_name","right_name","left_odds","right_odds","weight_class","date","fight_id"
5149,"Diego Sanchez","Jim Miller",155,-180,"155","2016-03-05",4079
5942,"Norman Parke","Naoyuki Kotani",-410,340,"155","2014-07-19",4852
6802,"Seth Baczynski","Lance Benoist",-115,-115,"170","2012-06-08",5711
7677,"Jason Brilz","Tim Boetsch",135,-160,"205","2009-03-07",6613
2019,"Manel Kape","Ode Osbourne",-200,170,"125","2021-08-07",1420
1246,"Sam Hughes","Istela Nunes",185,-225,"115","2022-04-16",1080
1214,"Joanderson Brito","Andre Fili",200,-250,"145","2022-04-30",1048
2446,"Duško Todorović","Dequan Townsend",-400,310,"185","2020-10-03",1884
3396,"Kyung Ho Kang","Teruto Ishihara",-320,260,"135","2019-02-09",2705
4204,"Brad Tavares","Elias Theodorou",-120,-110,"185","2017-07-07",3456
5159,"Arnold Allen","Yaotzin Meza",-340,280,"145","2016-02-27",4089
5950,"Edson Barboza","Evan Dunham",-325,265,"155","2014-07-16",4860
6865,"Chris Clements","Keith Wisniewski",-160,135,"170","2012-04-21",5774
7688,"Mike Ciesnolevicz","Neil Grove",-102,-118,"265","2009-02-21",6624
1795,"Deiveson Figueiredo","Brandon Moreno",160,-190,"125","2022-01-22",1196
1223,"Jéssica Andrade","Amanda Lemos",-230,190,"115","2022-04-23",1057
2463,"Danilo Marques","Khadis Ibragimov",170,-205,"205","2020-09-26",1901
3408,"Jairzinho Rozenstruik","Júnior Albini",125,-155,"265","2019-02-02",2717
4220,"Darrell Horcher","Devin Powell",-405,340,"155","2017-06-25",3472
5170,"James Krause","Shane Campbell",-165,140,"155","2016-02-21",4100
5959,"Cláudia Gadelha","Tina Lähdemäki",-560,430,"115","2014-07-16",4869
6898,"Vaughan Lee","Norifumi Yamamoto",260,-320,"61","2012-02-25",5807
7703,"Karo Parisyan","Dong Hyun Kim",-223,173,"170","2009-01-31",6639
1765,"Jonathan Pearce","Christian Rodriguez",-400,295,"145","2022-02-19",1166
