"id","name","weight","height","reach","stance","date_of_birth","gender"
1346,"Frank Mir",264,75,79,"Southpaw","1979-05-24","male"
1347,"Mario Miranda",185,75,74,"Orthodox","1979-07-12","male"
1348,"Vitor Miranda",185,73,77,"Orthodox","1979-03-10","male"
1349,"Gabriel Miranda",145,71,71,"Orthodox","1990-03-25","male"
1350,"David Mitchell",170,72,75,"Orthodox","1979-10-24","male"
1351,"Bryce Mitchell",145,70,70,"Southpaw","1994-10-04","male"
1352,"Terrence Mitchell",135,70,74,"Orthodox","1989-12-30","male"
1353,"Matt Mitrione",265,75,82,"Switch","1978-07-15","male"
1355,"Takeya Mizugaki",135,67,69,"Orthodox","1983-12-16","male"
1356,"Roxanne Modafferi",125,67,69,"Orthodox","1982-09-24","female"
1357,"Bobby Moffett",145,70,73,"Orthodox","1990-06-01","male"
1358,"Nate Mohr",155,69,72,"Orthodox","1983-03-03","male"
1359,"Renato Moicano",155,71,72,"Orthodox","1989-05-21","male"
1360,"Thiago Moises",155,69,70,"Orthodox","1995-03-23","male"
1361,"Muhammad Mokaev",125,67,70,"Orthodox","2000-07-30","male"
1362,"Ashkan Mokhtarian",125,66,67,"Southpaw","1985-09-15","male"
1363,"Suman Mokhtarian",145,68,72,"Orthodox","1992-06-13","male"
1364,"Jeff Molina",125,66,69,"Orthodox","1997-07-17","male"
1365,"Jeff Monson",247,69,74,"Orthodox","1971-01-18","male"
1366,"Darrell Montague",125,66,67,"Southpaw","1987-11-03","male"
1367,"Augusto Montano",170,73,73,"Orthodox","1984-10-25","male"
1368,"Erick Montano",170,72,73,"Orthodox","1985-11-19","male"
1369,"Nicco Montano",135,65,65,"Southpaw","1988-12-16","female"
1370,"James Moontasri",170,70,71,"Switch","1988-04-10","male"
1373,"Sergio Moraes",170,72,72,"Orthodox","1982-07-23","male"
1374,"Marlon Moraes",135,66,67,"Orthodox","1988-04-26","male"
1375,"Sheymon Moraes",145,68,72,"Orthodox","1990-10-11","male"
1376,"John Moraga",125,66,66,"Orthodox","1984-03-20","male"
1377,"Albert Morales",135,69,72,"Orthodox","1991-05-25","male"
1378,"Joseph Morales",125,66,69,"Switch","1994-08-22","male"
1379,"Vince Morales",135,69,70,"Orthodox","1990-11-12","male"
1380,"Omar Morales",155,71,73,"Orthodox","1985-10-17","male"
1381,"Michael Morales",170,72,79,"Orthodox","1999-06-24","male"
1382,"Sarah Moras",135,67,67,"Orthodox","1988-04-30","female"
1383,"Christian Morecraft",260,78,81,"Orthodox","1986-09-08","male"
1384,"Vinicius Moreira",205,76,76,"Orthodox","1989-02-28","male"
1385,"Brandon Moreno",125,67,70,"Orthodox","1993-12-07","male"
1386,"Dan Moret",155,72,73,"Southpaw","1986-11-21","male"
1388,"Alex Morono",170,71,72,"Orthodox","1990-08-16","male"
1389,"Maryna Moroz",125,67,67,"Orthodox","1991-09-08","female"
1390,"Sergey Morozov",135,66,67,"Orthodox","1989-06-14","male"
1391,"Carlos Mota",125,64,69,"Orthodox","1995-04-15","male"
1392,"Nikolas Motta",155,69,70,"Orthodox","1993-02-08","male"
1393,"Gegard Mousasi",185,74,76,"Orthodox","1985-08-01","male"
1394,"Kris Moutinho",135,67,68,"Southpaw","1992-08-09","male"
1395,"Jamie Moyle",115,61,65,"Orthodox","1989-03-17","female"
1396,"Askar Mozharov",205,75,74,"Orthodox","1994-10-26","male"
1397,"Lauren Mueller",125,65,67,"Orthodox","1991-11-15","female"
1398,"Belal Muhammad",170,71,72,"Orthodox","1988-07-09","male"
1399,"James Mulheron",243,70,73,"Orthodox","1988-02-20","male"
1400,"Jamie Mullarkey",155,72,74,"Orthodox","1994-08-17","male"
1401,"Pedro Munhoz",135,66,65,"Orthodox","1986-09-07","male"
1402,"Andre Muniz",185,73,78,"Southpaw","1990-02-17","male"
1403,"Mark Munoz",185,72,71,"Orthodox","1978-02-09","male"
1404,"Alexander Munoz",155,69,72,"Switch","1990-02-27","male"
1405,"Johnny Munoz",135,69,71,"Orthodox","1993-02-16","male"
1407,"Makhmud Muradov",185,74,75,"Orthodox","1990-02-08","male"
1408,"Kanako Murata",115,61,62,"Orthodox","1993-08-10","female"
1411,"Lauren Murphy",125,65,67,"Orthodox","1983-07-27","female"
1412,"Lerone Murphy",145,69,73,"Orthodox","1991-07-22","male"
1414,"Khalid Murtazaliev",185,72,76,"Orthodox","1993-07-15","male"
1415,"Azamat Murzakanov",205,70,71,"Southpaw","1989-04-12","male"
1416,"Nicholas Musoke",170,72,75,"Orthodox","1986-04-05","male"
1417,"Magomed Mustafaev",155,68,71,"Orthodox","1988-08-02","male"
1418,"Elvis Mutapcic",185,72,72,"Orthodox","1986-07-19","male"
1419,"Muhammad Naimov",155,69,70,"Orthodox","1994-08-07","male"
1420,"Kazuhiro Nakamura",205,71,70,"Orthodox","1979-07-16","male"
1421,"Keita Nakamura",170,71,73,"Southpaw","1984-05-22","male"
1422,"Rinya Nakamura",135,67,68,"Southpaw","1995-03-23","male"
1423,"Tyson Nam",125,67,68,"Orthodox","1983-10-06","male"
1424,"Rose Namajunas",115,65,65,"Orthodox","1992-06-29","female"
1425,"Nad Narimani",145,68,70,"Orthodox","1987-04-14","male"
1426,"Allan Nascimento",125,68,69,"Orthodox","1991-09-11","male"
1427,"Rodrigo Nascimento",246,74,80,"Orthodox","1992-11-26","male"
1428,"Bobby Nash",170,72,74,"Orthodox","1990-03-26","male"
1430,"Rafael Natal",185,72,77,"Orthodox","1982-12-25","male"
1431,"Kevin Natividad",135,66,70,"Orthodox","1993-04-02","male"
1432,"Ismail Naurdiev",170,70,74,"Orthodox","1996-08-18","male"
1433,"Tafon Nchukwi",185,72,77,"Orthodox","1994-10-14","male"
1434,"Geoff Neal",170,71,75,"Southpaw","1990-08-28","male"
1435,"Stanislav Nedkov",205,71,71,"Orthodox","1981-12-09","male"
1436,"Josh Neer",170,71,72,"Orthodox","1983-03-24","male"
1437,"Nicolae Negumereanu",205,72,78,"Orthodox","1994-09-04","male"
1438,"Shane Nelson",155,69,70,"Southpaw","1984-11-29","male"
1439,"Roy Nelson",263,72,73,"Orthodox","1976-06-20","male"
1440,"Gunnar Nelson",170,71,72,"Switch","1988-07-28","male"
1441,"Kyle Nelson",145,71,71,"Switch","1991-04-20","male"
1442,"Antonio Braga Neto",185,75,77,"Orthodox","1987-10-29","male"
1444,"Journey Newson",135,65,67,"Orthodox","1989-03-07","male"
1445,"Francis Ngannou",250,76,83,"Orthodox","1986-09-05","male"
1446,"Ben Nguyen",125,65,65,"Switch","1988-08-03","male"
1448,"Alex Nicholson",185,76,77,"Orthodox","1990-05-02","male"
1449,"Bo Nickal",185,73,76,"Southpaw","1996-01-14","male"
1450,"Matheus Nicolau",125,66,66,"Orthodox","1993-01-06","male"
1451,"Tom Niinimaki",145,69,69,"Orthodox","1982-07-25","male"
1452,"Ramsey Nijem",155,71,75,"Orthodox","1988-04-01","male"
1453,"Guangyou Ning",145,64,64,"Southpaw","1981-12-15","male"
1454,"Anthony Njokuani",155,73,75,"Orthodox","1980-03-01","male"
1455,"Chidi Njokuani",185,75,80,"Orthodox","1988-12-31","male"
1456,"Antonio Rodrigo Nogueira",240,75,77,"Orthodox","1976-06-02","male"
1457,"Rogerio Nogueira",205,74,75,"Southpaw","1976-06-02","male"
1458,"Kyle Noke",170,73,76,"Southpaw","1980-03-18","male"
1459,"KJ Noons",155,70,70,"Orthodox","1982-12-07","male"
1460,"Sage Northcutt",170,72,71,"Orthodox","1996-03-01","male"
1462,"Phillipe Nover",145,69,72,"Orthodox","1984-02-03","male"
1464,"Shayilan Nuerdanbieke",145,68,69,"Orthodox","1994-05-04","male"
1465,"Diego Nunes",145,66,67,"Orthodox","1982-11-30","male"
1466,"Amanda Nunes",135,68,69,"Orthodox","1988-05-30","female"
1467,"Nina Nunes",125,65,64,"Orthodox","1985-12-03","female"
1468,"Istela Nunes",115,64,66,"Orthodox","1992-07-23","female"
1469,"Josiane Nunes",145,62,67,"Southpaw","1993-12-23","female"
1470,"Khabib Nurmagomedov",155,70,70,"Orthodox","1988-09-20","male"
1471,"Said Nurmagomedov",135,68,70,"Orthodox","1992-04-05","male"
1472,"Abubakar Nurmagomedov",170,71,72,"Orthodox","1989-11-13","male"
1473,"Umar Nurmagomedov",135,68,69,"Orthodox","1996-01-03","male"
1474,"Kennedy Nzechukwu",205,77,83,"Southpaw","1992-06-13","male"
1475,"Jake O'Brien",205,75,76,"Orthodox","1984-09-25","male"
1476,"Sean O'Connell",205,73,74,"Orthodox","1983-09-02","male"
1477,"Sean O'Malley",135,71,72,"Switch","1994-10-24","male"
1478,"Casey O'Neill",125,66,69,"Orthodox","1997-10-07","female"
1479,"Brendan O'Reilly",170,67,69,"Orthodox","1987-06-24","male"
1481,"Volkan Oezdemir",205,74,75,"Orthodox","1989-09-19","male"
1482,"Trey Ogden",155,71,72,"Orthodox","1989-11-14","male"
1483,"Andy Ogle",145,68,69,"Orthodox","1989-02-16","male"
1484,"Yushin Okami",170,74,75,"Southpaw","1981-07-21","male"
1486,"Aleksei Oleinik",240,74,80,"Orthodox","1977-06-20","male"
1487,"Michal Oleksiejczuk",185,72,74,"Southpaw","1995-02-22","male"
1488,"Rafaello Oliveira",155,68,71,"Orthodox","1982-01-26","male"
1489,"Charles Oliveira",155,70,74,"Orthodox","1989-10-17","male"
1490,"Alex Oliveira",170,71,76,"Orthodox","1988-02-21","male"
1491,"Maria Oliveira",115,66,69,"Orthodox","1996-12-12","female"
1493,"Saimon Oliveira",135,64,72,"Orthodox","1991-04-21","male"
1495,"Gadzhi Omargadzhiev",170,73,71,"Switch","1993-02-24","male"
1496,"Daniel Omielanczuk",247,72,74,"Southpaw","1982-08-31","male"
1497,"Michihiro Omigawa",145,66,68,"Orthodox","1975-12-19","male"
1498,"David Onama",145,71,74,"Orthodox","1994-06-07","male"
1499,"Charlie Ontiveros",155,74,74,"Switch","1991-07-04","male"
1500,"Brian Ortega",145,68,69,"Switch","1991-02-21","male"
1501,"Tito Ortiz",205,75,74,"Orthodox","1975-01-23","male"
1502,"Dustin Ortiz",125,65,65,"Orthodox","1988-12-25","male"
1504,"Ode Osbourne",125,67,73,"Southpaw","1992-01-09","male"
1505,"Nick Osipczak",170,74,76,"Orthodox","1984-12-30","male"
1506,"Rachael Ostovich",125,63,62,"Orthodox","1991-02-25","female"
1507,"Zak Ottow",170,71,72,"Orthodox","1986-12-22","male"
1509,"Alistair Overeem",265,76,80,"Orthodox","1980-05-17","male"
1510,"Alptekin Ozkilic",125,65,65,"Orthodox","1986-03-27","male"
1511,"Nick Pace",135,67,68,"Orthodox","1987-04-17","male"
1512,"Teemu Packalen",155,73,75,"Orthodox","1987-05-22","male"
1513,"Fernando Padilla",145,73,76,"Orthodox","1996-12-15","male"
1514,"Damacio Page",135,66,66,"Orthodox","1982-09-30","male"
1515,"Dustin Pague",135,69,74,"Orthodox","1987-08-05","male"
1516,"Raulian Paiva",135,68,69,"Orthodox","1995-10-17","male"
1518,"Fredson Paixao",145,66,66,"Orthodox","1979-05-13","male"
1519,"Bart Palaszewski",145,69,70,"Orthodox","1983-05-30","male"
1520,"Sasha Palatnikov",170,73,72,"Switch","1989-03-15","male"
1521,"Soa Palelei",265,76,81,"Orthodox","1977-07-12","male"
1522,"Rousimar Palhares",170,68,71,"Orthodox","1980-02-26","male"
1523,"Alexandre Pantoja",125,65,67,"Orthodox","1990-04-16","male"
1524,"Jared Papazian",135,68,67,"Southpaw","1988-02-01","male"
1526,"Josh Parisian",265,76,79,"Orthodox","1989-06-28","male"
1527,"Karo Parisyan",170,70,72,"Orthodox","1982-08-28","male"
1528,"JunYong Park",185,70,73,"Orthodox","1991-02-27","male"
1530,"HyunSung Park",125,67,66,"Orthodox","1995-11-04","male"
1531,"Norman Parke",155,71,70,"Southpaw","1986-12-22","male"
1532,"Mick Parkin",265,76,79,"Orthodox","1995-10-02","male"
1533,"Preston Parsons",170,71,71,"Orthodox","1995-07-15","male"
1534,"Jonny Parsons",170,69,69,"Orthodox","1991-09-06","male"
1535,"Ramona Pascual",135,67,66,"Southpaw","1988-09-23","female"
1539,"Claude Patrick",170,71,75,"Orthodox","1980-06-14","male"
1540,"Alan Patrick",155,71,74,"Southpaw","1983-07-19","male"
1541,"Sam Patterson",155,75,78,"Orthodox","1996-04-30","male"
1542,"Zac Pauga",205,74,76,"Orthodox","1988-02-25","male"
1544,"Sergei Pavlovich",257,75,84,"Southpaw","1992-05-13","male"
1545,"Pawel Pawlak",170,72,73,"Orthodox","1989-02-08","male"
1546,"Jonathan Pearce",145,72,71,"Switch","1992-05-01","male"
1547,"Ross Pearson",155,68,69,"Orthodox","1984-09-26","male"
1548,"Carlo Pedersoli Jr.",170,71,75,"Southpaw","1993-06-08","male"
1549,"Tyson Pedro",205,75,79,"Orthodox","1991-09-17","male"
1550,"Trevor Peek",155,69,70,"Switch","1995-01-09","male"
1551,"Kurt Pellegrino",155,68,70,"Orthodox","1979-05-07","male"
1552,"Julianna Pena",135,66,69,"Orthodox","1989-08-19","female"
1553,"Luis Pena",155,75,75,"Southpaw","1993-07-05","male"
1555,"Cathal Pendred",170,73,75,"Orthodox","1987-09-02","male"
1556,"BJ Penn",155,69,70,"Orthodox","1978-12-13","male"
1557,"Jessica Penne",115,65,67,"Orthodox","1983-01-30","female"
1558,"Raquel Pennington",135,67,67,"Orthodox","1988-09-05","female"
1559,"Godofredo Pepey",145,67,73,"Orthodox","1987-07-02","male"
1560,"Robert Peralta",145,68,71,"Orthodox","1986-03-14","male"
1561,"Viviane Pereira",115,61,63,"Orthodox","1993-08-28","female"
1562,"Michel Pereira",170,73,73,"Orthodox","1993-10-06","male"
1563,"Alex Pereira",205,76,79,"Orthodox","1987-07-07","male"
1564,"Erik Perez",135,68,68,"Orthodox","1989-11-19","male"
1565,"Alejandro Perez",135,66,67,"Orthodox","1989-09-02","male"
1566,"Frankie Perez",155,71,73,"Orthodox","1989-05-11","male"
1567,"Alex Perez",125,66,65,"Orthodox","1992-03-21","male"
1568,"Markus Perez",185,73,73,"Orthodox","1988-06-22","male"
1569,"Ailin Perez",135,65,66,"Switch","1994-10-05","female"
1570,"Anthony Perosh",205,75,75,"Orthodox","1972-10-05","male"
1571,"Jay Perrin",135,67,67,"Switch","1993-06-15","male"
1572,"Mike Perry",170,70,71,"Orthodox","1991-09-15","male"
1573,"Raphael Pessoa",262,75,78,"Orthodox","1989-03-09","male"
1574,"Viktor Pesta",240,75,77,"Orthodox","1990-07-15","male"
1575,"Steven Peterson",145,70,70,"Orthodox","1990-05-29","male"
1576,"Vitor Petrino",205,74,77,"Orthodox","1997-08-28","male"
1577,"Andre Petroski",185,72,73,"Switch","1991-06-12","male"
1578,"Armen Petrosyan",185,75,71,"Orthodox","1990-11-02","male"
1579,"Ivana Petrovic",125,68,70,"Southpaw","1994-06-11","female"
1580,"Seth Petruzelli",205,72,76,"Orthodox","1979-12-03","male"
1582,"Anthony Pettis",155,70,72,"Orthodox","1987-01-27","male"
1583,"Sergio Pettis",125,66,69,"Orthodox","1993-08-18","male"
1584,"Forrest Petz",170,69,71,"Orthodox","1975-09-22","male"
1585,"Cody Pfister",155,70,73,"Orthodox","1990-07-12","male"
1586,"Nam Phan",135,66,70,"Orthodox","1983-03-13","male"
1587,"Constantinos Philippou",185,71,73,"Orthodox","1979-11-29","male"
1588,"Aaron Phillips",135,69,71,"Southpaw","1989-08-05","male"
1589,"Elizabeth Phillips",135,66,65,"Orthodox","1986-08-20","female"
1590,"John Phillips",185,71,75,"Southpaw","1985-06-09","male"
1591,"Kyler Phillips",135,68,72,"Orthodox","1995-06-12","male"
1592,"Vinc Pichel",155,70,72,"Orthodox","1982-11-23","male"
1593,"Brad Pickett",135,66,68,"Orthodox","1978-09-24","male"
1594,"Jamie Pickett",185,74,80,"Orthodox","1988-08-29","male"
1595,"Oskar Piechota",185,72,76,"Southpaw","1990-01-24","male"
1596,"Mike Pierce",170,68,71,"Orthodox","1980-09-01","male"
1597,"Sean Pierson",170,72,76,"Southpaw","1976-03-10","male"
1598,"Domingo Pilarte",135,72,73,"Southpaw","1990-01-05","male"
1599,"Paddy Pimblett",155,70,73,"Orthodox","1995-01-03","male"
1600,"Daniel Pineda",145,67,69,"Orthodox","1985-08-06","male"
